"Index","MSFT.Adjusted"
"2022-01-03","2022-01-03",328.727661132812
"2022-01-04","2022-01-04",323.090942382812
"2022-01-05","2022-01-05",310.688140869141
"2022-01-06","2022-01-06",308.233123779297
"2022-01-07","2022-01-07",308.390289306641
"2022-01-10","2022-01-10",308.616058349609
"2022-01-11","2022-01-11",309.313323974609
"2022-01-12","2022-01-12",312.544158935547
"2022-01-13","2022-01-13",299.316436767578
"2022-01-14","2022-01-14",304.619293212891
"2022-01-18","2022-01-18",297.205139160156
"2022-01-19","2022-01-19",297.872894287109
"2022-01-20","2022-01-20",296.174041748047
"2022-01-21","2022-01-21",290.704284667969
"2022-01-24","2022-01-24",291.038146972656
"2022-01-25","2022-01-25",283.299896240234
"2022-01-26","2022-01-26",291.372009277344
"2022-01-27","2022-01-27",294.445678710938
"2022-01-28","2022-01-28",302.714233398438
"2022-01-31","2022-01-31",305.385314941406
"2022-02-01","2022-02-01",303.205230712891
"2022-02-02","2022-02-02",307.820709228516
"2022-02-03","2022-02-03",295.830291748047
"2022-02-04","2022-02-04",300.435974121094
"2022-02-07","2022-02-07",295.535766601562
"2022-02-08","2022-02-08",299.080810546875
"2022-02-09","2022-02-09",305.611175537109
"2022-02-10","2022-02-10",296.940032958984
"2022-02-11","2022-02-11",289.732055664062
"2022-02-14","2022-02-14",289.692749023438
"2022-02-15","2022-02-15",295.064422607422
"2022-02-16","2022-02-16",294.720001220703
"2022-02-17","2022-02-17",286.089965820312
"2022-02-18","2022-02-18",283.334625244141
"2022-02-22","2022-02-22",283.128021240234
"2022-02-23","2022-02-23",275.796875
"2022-02-24","2022-02-24",289.888336181641
"2022-02-25","2022-02-25",292.564910888672
"2022-02-28","2022-02-28",294.021270751953
"2022-03-01","2022-03-01",290.242645263672
"2022-03-02","2022-03-02",295.39892578125
"2022-03-03","2022-03-03",291.197113037109
"2022-03-04","2022-03-04",285.233825683594
"2022-03-07","2022-03-07",274.458587646484
"2022-03-08","2022-03-08",271.447448730469
"2022-03-09","2022-03-09",283.895477294922
"2022-03-10","2022-03-10",281.031982421875
"2022-03-11","2022-03-11",275.600067138672
"2022-03-14","2022-03-14",272.027984619141
"2022-03-15","2022-03-15",282.567108154297
"2022-03-16","2022-03-16",289.691497802734
"2022-03-17","2022-03-17",290.50830078125
"2022-03-18","2022-03-18",295.635101318359
"2022-03-21","2022-03-21",294.385406494141
"2022-03-22","2022-03-22",299.207183837891
"2022-03-23","2022-03-23",294.710144042969
"2022-03-24","2022-03-24",299.246551513672
"2022-03-25","2022-03-25",298.833251953125
"2022-03-28","2022-03-28",305.741241455078
"2022-03-29","2022-03-29",310.376068115234
"2022-03-30","2022-03-30",308.850769042969
"2022-03-31","2022-03-31",303.389343261719
"2022-04-01","2022-04-01",304.481628417969
"2022-04-04","2022-04-04",309.943054199219
"2022-04-05","2022-04-05",305.918334960938
"2022-04-06","2022-04-06",294.720001220703
"2022-04-07","2022-04-07",296.560150146484
"2022-04-08","2022-04-08",292.230316162109
"2022-04-11","2022-04-11",280.707214355469
"2022-04-12","2022-04-12",277.558319091797
"2022-04-13","2022-04-13",283.029541015625
"2022-04-14","2022-04-14",275.363861083984
"2022-04-18","2022-04-18",276.042846679688
"2022-04-19","2022-04-19",280.74658203125
